S.No,Product Listing,Scientific Name,Price,URL,Variegated,Type,Combo Names,Units
67,Sansevieria 'Oil Plastic',Sansevieria Trifasciata 'Lillian True',"Rs. 1,100.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-oil-plastic,False,Plant,[],1
68,Sansevieria Boncel (Small),Sansevieria Boncel,Rs. 250.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-boncel-small,False,Plant,[],1
69,Sansevieria Trifaciata Laurentii,Sansevieria Trifaciata Laurentii,Rs. 199.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-trifaciata-laurentii,False,Plant,[],1
70,Sansevieria Ebracteata,Sansevieria Ebracteata,Rs. 450.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-ebracteata,False,Plant,[],1
71,Sansevieria Joboa Variegated,Sansevieria Joboa Variegated,"Rs. 2,000.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-joboa-variegated,True,Plant,[],1
72,Sansevieria Whitney Clump Of 3 Large Plants,Sansevieria Whitney Clump Of 3 Large Plants,Rs. 750.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-whitney-clump-of-3-large-plants-1,False,Clump,[],1
73,#119 Combo Of 3 Sansevieria,Sansevieria (Combo),"Rs. 1,650.00",https://fermosaplants.com/collections/sansevieria/products/119-combo-of-3-sansevieria,False,Combo,"['Chao Pharya', 'Benthieng', 'Nakhon Luang']",3
74,Sansevieria Chao Pharya,Sansevieria Chao Pharya,Rs. 999.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-chao-pharya,False,Plant,[],1
75,#116 Combo Of 4 Popular Indonesian Hybrids,Sansevieria (Combo),Rs. 999.00,https://fermosaplants.com/collections/sansevieria/products/116-combo-of-4-popular-indonesian-hybrids,False,Combo,"['Prima', 'Prabhu', 'Jatayu', 'Tower']",4
76,#115 Combo Of 4 Large Sansevieria,Sansevieria (Combo),Rs. 750.00,https://fermosaplants.com/collections/sansevieria/products/115-combo-of-4-large-sansevieria-1,False,Combo,"['Sulcata Var', 'Fern Wood', 'Pearsonii', 'Fischeri']",4
77,Sansevieria Combo (X) Offer Of 5 Variegated Sansevieria,Sansevieria (Combo),"Rs. 1,550.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-x-offer-of-5-variegated-sansevieria,True,Combo,"['Florida H13 Var', 'Uganda Black Var', 'Fernwood Var', 'Sulcata Var', 'Stella Var']",5
78,Sansevieria Combo Offer Of 6 (W),Sansevieria (Combo),Rs. 525.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-offer-of-6-w,False,Combo,"['Cylindrica', 'Boncel', 'Uganda Black', 'Whalefine Green', 'Fernwood', 'Coppertone']",6
79,#112 Combo Of Five Rare Sansevieria Trifasciata Of New Generation,Sansevieria (Combo),"Rs. 2,500.00",https://fermosaplants.com/collections/sansevieria/products/112-combo-of-5-large-sansevieria,False,Combo,"['Mutant Moonshine', 'Moonshine Variegated', 'Alslaam', 'Black Sword Aka Green Arrow', 'Nelsonni Banded']",5
80,#110 Sansevieria Combo Of 7 Plants,Sansevieria (Combo),"Rs. 1,750.00",https://fermosaplants.com/collections/sansevieria/products/110-sansevieria-combo-of-7-plants,False,Combo,"['Robo', 'Boncel Var', 'Platinum Cross', 'Marsha Anjani', 'Fighter', 'Nilin', 'Silver Boncel']",7
81,Combo #104 ( Combo Of 5 Sansevieria Mature Pups),Sansevieria (Combo),"Rs. 2,000.00",https://fermosaplants.com/collections/sansevieria/products/combo-104-combo-of-5-sansevieria-mature-pups,False,Combo,"['Aslaam', 'Moonshine Mutant', 'Nelsonii Banded', 'Green Arrow', 'Moonshine Var']",5
82,Black Gold Compacta,Black Gold Compacta,Rs. 475.00,https://fermosaplants.com/collections/sansevieria/products/black-gold-compacta,False,Plant,[],1
83,Sansevieria Combo Of 3 Beautiful Plants,Sansevieria (Combo),Rs. 675.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-of-3-beautiful-plants,False,Combo,"['Sindoro', 'Silver Boncel', 'Boncel Ming Manee']",3
84,Sansevieria Masoniana White Variegated (Single Leaf),Sansevieria Masoniana Variegated,Rs. 499.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-masoniana-white-variegated-single-leaf,True,Single Leaf,[],1
85,Sansevieria Rorida,Rorida,"Rs. 1,300.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-rorida,False,Plant,[],1
86,Sansevieria 'Stardust',Sansevieria 'Stardust',"Rs. 2,750.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-stardust,False,Plant,[],1
87,Sansevieria Ballyi,Sansevieria Ballyi,Rs. 199.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-ballyi,False,Plant,[],1
88,Sansevieria Silver Crown,Sansevieria Silver Crown,Rs. 275.00,https://fermosaplants.com/collections/sansevieria/products/copy-of-sansevieria-silver-crown,False,Plant,[],1
89,Sansevieria Moose,Sansevieria Moose,Rs. 275.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-moose-1,False,Plant,[],1
90,Sansevieria Boncel Variegated (B),Sansevieria Boncel Variegated,Rs. 800.00,https://fermosaplants.com/collections/sansevieria/products/copy-of-sansevieria-boncel-variegated-b,True,Plant,[],1
91,Sansevieria Boncel Variegated (A),Sansevieria Boncel Variegated,Rs. 650.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-boncel-variegated-a,True,Plant,[],1
92,Sansevieria Cleopatra,Sansevieria Cleopatra,Rs. 850.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-cleopatra,False,Plant,[],1
93,Sansevieria Moto Clump,Sansevieria Moto,Rs. 299.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-moto-clump,False,Clump,[],1
94,Sansevieria Samurai Variegated (A),Sansevieria Samurai Variegated,"Rs. 3,500.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-samurai-variegated-a,True,Plant,[],1
95,Sansevieria Blue Leaf Variegated (D),Sansevieria Blue Leaf Variegated,Rs. 850.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-blue-leaf-variegated-d,True,Plant,[],1
96,Sansevieria Blue Leaf Variegated (C),Sansevieria Blue Leaf Variegated,Rs. 850.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-blue-leaf-variegated-c,True,Plant,[],1
97,Sansevieria Hybrid 'Nilin' Pup,Sansevieria Hybrid Nilin,Rs. 500.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-hybrid-nilin-pup,False,Pup,[],1
98,Sansevieria Hybrid Lobal Kenya,Sansevieria Hybrid Lobal Kenya,Rs. 499.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-lobal-kenya,False,Plant,[],1
99,#120 Combo Of 6 Sansevieria,Sansevieria (Combo),Rs. 999.00,https://fermosaplants.com/collections/sansevieria/products/120-combo-of-6-sansevieria,False,Combo,"['Parbhu', 'Sindoro', 'Jatayu', 'Vienna', 'Lady Charm', 'Kitonga']",6
100,Sansevieria Whitney Clump Of 3 Large Plants,Sansevieria Whitney Clump Of 3 Large Plants,Rs. 750.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-whitney-clump-of-3-large-plants,False,Clump,[],1
